sales_id,order_id,product_id,customer_id,order_date,order_priority,order_quantity,unit_price,discount,shipping_price,total,total_after_discount,box_size,shipping_cost,box_cost,delivery_date,product_base_revenue,revenue
1,200920,PFS127009,100922001,2017-09-10,Low,7,40.95,0.04,1.75,286.65,275.18,Jumbo Drum,1.23,5.42,2017-09-18,0.42,109.1
2,200920,PFS127057,100922342,2017-09-10,High,8,19.75,0.09,6,157.98,157.98,Small Box,4.2,0.56,2017-09-13,0.69,103.74
3,200921,PFS127010,100922002,2017-08-16,Medium,1,23.7,0.07,3,23.7,22.04,Small Box,2.1,0.56,2017-08-22,0.38,5.72
4,200921,PFS127060,100922343,2017-08-16,Critical,17,19.75,0.08,12,335.7,335.7,Small Box,8.4,0.56,2017-08-18,0.59,189.3
5,200922,PFS127011,100922003,2017-11-03,High,3,24.3,0.01,6,72.9,72.17,Small Box,4.2,0.56,2017-11-06,0.37,22.1
6,200922,PFS127090,100922344,2017-11-03,Very Low,10,19.88,0.02,2.33,198.77,198.77,Large Box,1.63,1.48,2017-11-13,0.76,148.11
7,200923,PFS127025,100922004,2017-04-04,Critical,9,15.6,0.08,7.5,140.4,129.17,Medium Box,5.25,1.18,2017-04-06,0.7,83.55
8,200923,PFS127091,100922345,2017-04-04,Same Day,6,20.48,0,20.25,122.85,122.85,Small Box,14.18,0.56,2017-04-05,0.84,88.6
9,200924,PFS127026,100922005,2017-03-15,Very Low,12,15.77,0.08,2.33,189.23,174.09,Small Pack,1.63,0.38,2017-03-25,0.69,117.24
10,200924,PFS127108,100922346,2017-03-15,Low,6,20.48,0.01,3.5,122.85,122.85,Wrap Bag,2.45,0.34,2017-03-23,0.84,100.55
11,200925,PFS127038,100922006,2017-04-09,Same Day,5,16.34,0.05,11.25,81.71,77.62,Small Box,7.88,0.56,2017-04-10,0.73,48.47
12,200925,PFS127041,100922347,2017-04-09,Medium,17,20.79,0.05,4.5,353.38,353.38,Small Box,3.15,0.56,2017-04-15,0.65,225.84
13,200926,PFS127047,100922007,2017-05-02,Low,4,16.65,0.03,3.5,66.61,64.61,Small Box,2.45,0.56,2017-05-10,0.69,41.25
14,200926,PFS127052,100922348,2017-05-02,High,21,20.79,0.06,6,436.53,436.53,Large Box,4.2,1.48,2017-05-05,0.42,177.66
15,200927,PFS127055,100922008,2017-08-31,Medium,3,19.67,0.09,3.75,59,53.69,Large Box,2.63,1.48,2017-09-06,0.73,35.26
16,200927,PFS127073,100922349,2017-08-31,Critical,15,20.79,0.08,9,311.81,311.81,Jumbo Drum,6.3,5.42,2017-09-02,0.62,182.98
17,200928,PFS127056,100922009,2017-04-04,High,2,17.67,0.07,9,35.33,32.86,Small Box,6.3,0.56,2017-04-07,0.73,17.23
18,200928,PFS127098,100922350,2017-04-04,Very Low,9,20.79,0,2.33,187.08,187.08,Small Box,1.63,0.56,2017-04-14,0.73,134.97
19,200929,PFS127058,100922010,2017-02-21,Critical,2,41.5,0.07,6,83,77.19,Small Box,4.2,0.56,2017-02-23,0.68,47.93
20,200929,PFS127114,100922351,2017-02-21,Same Day,11,21.94,0.01,15.75,241.38,241.38,Small Box,11.03,0.56,2017-02-22,0.84,191.46
21,200930,PFS127065,100922011,2017-09-07,Very Low,9,47.5,0.01,1,427.5,423.23,Wrap Bag,0.7,0.34,2017-09-17,0.37,156.49
22,200930,PFS127120,100922352,2017-09-07,Medium,4,21.94,0.1,5.25,87.78,87.78,Small Box,3.68,0.56,2017-09-13,0.7,56.91
23,200931,PFS127069,100922012,2017-02-26,Same Day,1,18.41,0.04,13.5,18.41,17.67,Medium Box,9.45,1.18,2017-02-27,0.73,2.22
